"""Bungaku Shoujo"" Movie";6408;96737;1
.hack//G.U. Trilogy;3269;8864;1
.hack//G.U. Trilogy;11375;8864;2
009 Re:Cyborg;11755;127544;1
1000-nen Joou: Queen Millennia;1549;34839;1
1001 Nights;3914;42067;1
11-nin Iru!;1901;28214;1
11-piki no Neko;6071;600796;1
5-toubun no Hanayome Movie;131520;820067;1
8-gatsu no Symphony: Shibuya 2002-2003;6670;309806;1
A.LI.CE;3463;276878;1
Aa! Megami-sama! Movie;304;912;1
Aachi wa Ssipak;2884;22520;1
Accel World: Infinite∞Burst;21404;43167;1
Ace wo Nerae! (1979);313;46419;1
Adachi-ga Hara;8181;364564;1
Afro Samurai: Resurrection;4970;19544;1
Ahiru no Otegara;6852;380374;1
Ai;6535;147566;1
Ai City;5053;78260;1
Ai no Utagoe wo Kikasete;123899;741335;1
Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken;5931;763776;1
Aikatsu! Movie;20640;65503;1
Air Movie;713;26201;1
Akage no Anne: Green Gables e no Michi;8950;373394;1
Aki no Kanade;21069;334493;1
Akihabara Dennou-gumi: 2011-nen no Natsuyasumi;2289;19697;1
Akira;47;149;1
Alexander Senki Movie;5157;35508;1
Ali Baba to 40-hiki no Touzoku;3843;70520;1
Alice to Therese no Maboroshi Koujou;136149;845387;1
All You Need Is Kill;187892;1432547;1
Alps no Shoujo Heidi (1979);9547;29452;1
Alps no Shoujo Heidi (1979);9548;29452;2
Alps no Shoujo Heidi (1979);9549;29452;3
Ame wo Tsugeru Hyouryuu Danchi;139643;877957;1
Amon Saga;2249;88852;1
Amrita no Kyouen;114606;725064;1
Andersen Douwa: Ningyohime;3043;59593;1
Andersen Monogatari;5098;314223;1
Anime Sanjuushi: Aramis no Bouken;2334;20784;1
Anju to Zushioumaru;7610;109715;1
Anne no Nikki;3829;128396;1
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie;15039;39434;1
Ansatsu Kyoushitsu: 365-nichi no Jikan;101102;431808;1
Ao Oni The Animation (Movie);21898;68137;1
Ao no Exorcist Movie;11737;38464;1
Aoi Kioku: Manmou Kaitaku to Shounen-tachi;17117;1448917;1
Aoki Densetsu Shoot! (Movie);2682;34173;1
Aos;6950;106201;1
Appaga Piryohae;4099;90933;1
Appleseed (Movie);54;45348;1
Appleseed (Movie);2969;45348;2
Appleseed (Movie);20786;45348;3
Aquarion Movie: Ippatsu Gyakuten-hen;6032;8872;1
Arabian Night: Sindbad no Bouken;7786;21174;1
Arashi no Yoru ni;1961;19961;1
Area 88 Movie;98129;34823;1
Arei no Kagami: Way to the Virgin Space;7156;394829;1
Arete Hime;1028;59297;1
Aria the Benedizione;130558;808604;1
Aria the Crepuscolo;117556;726550;1
Arion;791;22679;1
Armageddon;4567;207278;1
Armitage III: Poly-Matrix;493;69980;1
Armitage III: Poly-Matrix;492;69980;2
Aru Machi Kado no Monogatari;1497;85802;1
Ashita Genki ni Nare!: Hanbun no Satsumaimo;17493;734687;1
Ashita Sekai ga Owaru toshitemo;104562;553833;1
Ashita no Joe (Movie);2920;25117;1
Ashita no Joe (Movie);2922;25117;2
Asura;8475;181656;1
Asylum Session;6281;60131;1
Atagoal wa Neko no Mori;5503;266610;1
Atama Yama;1370;36072;1
Atashinchi Movie;9795;9537;1
Atashinchi Movie;9796;9537;2
Attack No.1 (1970);9163;46348;1
Attack No.1 (1970);9165;46348;2
Attack No.1 (1970);9166;46348;3
Attack No.1 (1970);9164;46348;4
Aura: Maryuuin Kouga Saigo no Tatakai;14669;225086;1
Avengers Confidential: Black Widow to Punisher;108815;257346;1
Baguda-jou no Touzoku;104422;403205;1
Bakemono no Ko;20981;315465;1
Bakeneko Anzu-chan;158641;1030588;1
Bakumatsu no Spasibo;8092;491356;1
Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi;1670;54728;1
Bakuten!! Movie;136064;952175;1
BanG Dream! Film Live;108735;69236;1
BanG Dream! Film Live 2nd Stage;116610;745115;1
BanG Dream! Movie: Poppin' Dream!;117765;922495;1
Bao Lian Deng;7752;331253;1
Baton;6189;41444;1
Bayonetta: Bloody Fate;20442;242546;1
Beast Wars Second Chou Seimeitai Transformers: Lio Convoy Kiki Ippatsu! Movie;5289;31098;1
Bem Movie: Become Human;119258;711683;1
Benkei tai Ushiwaka;12561;345817;1
Bikkuriman: Daiichiji Seima Taisen;10203;19343;1
Biohazard: Damnation;9544;133121;1
Biohazard: Death Island;161441;1083862;1
Biohazard: Degeneration;3446;13648;1
Biohazard: Vendetta;21464;400136;1
Birthday Boy;5469;48606;1
Bishoujo Senshi Sailor Moon R: The Movie;531;3570;1
Bishoujo Senshi Sailor Moon R: The Movie;997;3570;2
Bishoujo Senshi Sailor Moon R: The Movie;1240;3570;3
Black Clover: Mahou Tei no Ken;131680;812225;1
Black Fox;101317;609202;1
Black Jack the Movie;1521;30083;1
Black Jack the Movie;10055;30083;2
Black Jack: Futari no Kuroi Isha;1983;35868;1
Blame! Movie;21498;94936;1
Bleach Movie 1: Memories of Nobody;1686;30984;1
Bleach Movie 1: Memories of Nobody;2889;30984;2
Bleach Movie 1: Memories of Nobody;4835;30984;3
Bleach Movie 1: Memories of Nobody;8247;30984;4
Blood-C: The Last Dark;10681;43270;1
Blood: The Last Vampire;405;19849;1
Bloody Escape: Jigoku no Tousou Geki;144770;1103432;1
Blue Gender: The Warrior;1380;19855;1
Blue Giant;140499;887870;1
Blue Lock: Episode Nagi;163147;1104844;1
Blue Remains;4733;410145;1
Blue Thermal;138379;865767;1
Bobby ni Kubittake;3120;34775;1
Boku ga Aishita Subete no Kimi e;139310;874743;1
Boku no Hero Academia the Movie 1: Futari no Hero;100723;505262;1
Boku no Hero Academia the Movie 2: Heroes:Rising;108553;592350;1
Boku no Hero Academia the Movie 3: World Heroes' Mission;126659;768744;1
Boku no Hero Academia the Movie 4: You're Next;168013;1159311;1
Boku no Hero Academia: UA Heroes Battle;169402;65930;1
Boku no Kokoro no Yabai Yatsu Movie;182317;1363979;1
Boku to Roboko Movie;166249;1148706;1
Bokura no Nanokakan Sensou;101610;608085;1
Bonobono;8416;66569;1
Bonobono;8403;66569;2
Bouken Dankichi: Hyouryuu no Maki;6849;380376;1
Brave Story;1681;17566;1
Buddha Saitan;6985;60132;1
Bulg-eunmae;1776;82586;1
Bulsajo Robot Phoenix King;16786;166196;1
Bungou Stray Dogs: Dead Apple;98384;483455;1
Byeolnala Samchongsa;6671;421234;1
Byousoku 5 Centimeter;1689;38142;1
Byulbyul Iyagi;7420;73783;1
Byulbyul Iyagi 2;9447;73785;1
Candy Candy: Haru no Yobigoe;2801;9160;1
Candy Candy: Haru no Yobigoe;2802;9160;2
Candy Candy: Haru no Yobigoe;723;9160;3
Captain Bal;107857;570579;1
Captain Herlock;17269;192577;1
Captain Tsubasa: Europe Daikessen;2118;25707;1
Captain Tsubasa: Europe Daikessen;2119;25707;2
